default_enabled,effect,hero_id,id,name,required_level,required_upgrade_id,specialization_description,specialization_graphic_id,specialization_name,tip_text,upgrade_type
1,"global_dps_multiplier_mult,100",1,374,,475,7,,,,,
1,"buff_upgrade,100,71",5,82,,200,75,,,,,
1,"buff_upgrade,300,72",5,83,,205,0,,,,,increase_health
1,"global_dps_multiplier_mult,100",5,84,,240,0,,,,,
1,"global_dps_multiplier_mult,100",5,85,,310,0,,,,,
1,"buff_upgrade,100,71",5,86,,345,75,,,,,
1,"buff_upgrade,300,72",5,87,,320,0,,,,,increase_health
1,"hero_dps_multiplier_mult,100",6,88,,55,0,,,,,
1,"hero_dps_multiplier_mult,200",6,89,,65,0,,,,,
1,"effect_def,11",6,90,Bond: Humans,10,0,"Asharra forms a bond of friendship with the Human champions in your party, increasing their damage.",786.0,Bond: Humans,Asharra has formed a bond of friendship with your Human champions. Focus on having those champions as your main damage dealers.,
1,"effect_def,12",6,91,Bond: Elves and Dwarves,10,0,"Asharra forms a bond of friendship with the Elf and Dwarf champions in your party, increasing their damage.",785.0,Bond: Elves and Dwarves,Asharra has formed a bond of friendship with your Elf and Dwarf champions. Focus on having those champions as your main damage dealers.,
1,"effect_def,13",6,92,"Bond: Tiefling, Firbolg, and Dragonborn",10,0,"Asharra forms a bond of friendship with the Tiefling, Firbolg, and Dragonborn champions in your party, increasing their damage.",787.0,"Bond: Tiefling, Firbolg, and Dragonborn","Asharra has formed a bond of friendship with your Tiefling, Firbolg, and Dragonborn champions. Focus on having those champions as your main damage dealers.",
1,"set_ultimate_attack,12",6,93,,20,0,,,,,
1,"hero_dps_multiplier_mult,100",6,94,,30,0,,,,,
1,"hero_dps_multiplier_mult,100",6,95,,45,0,,,,,
1,"hero_dps_multiplier_mult,200",6,96,,75,0,,,,,
1,"add_attack_targets,1",6,97,,100,0,,,,,
1,"hero_dps_multiplier_mult,200",6,98,,120,0,,,,,
1,"hero_dps_multiplier_mult,100",6,99,,130,0,,,,,
1,"buff_upgrade,200,90",6,100,,140,90,,,,,
1,"buff_upgrade,200,91",6,101,,140,91,,,,,
1,"buff_upgrade,200,92",6,102,,140,92,,,,,
1,"hero_dps_multiplier_mult,200",6,103,,150,0,,,,,
1,"hero_dps_multiplier_mult,100",6,104,,160,0,,,,,
1,"hero_dps_multiplier_mult,300",6,105,,200,0,,,,,
1,"hero_dps_multiplier_mult,100",7,106,,20,0,,,,,
1,"global_dps_multiplier_mult,100",7,107,,40,0,,,,,
1,"effect_def,14",7,108,Favored Enemy: Humanoids,50,0,Minsc favors hunting Humanoid enemies. They take additional damage from the party.,804.0,Favored Enemy: Humanoids,"Minsc has a history with Humanoid enemies, so with his direction the party does additional damage to any Humanoids.",
1,"effect_def,15",7,109,Favored Enemy: Beasts,50,0,Minsc favors hunting Bestial enemies. They take additional damage from the party.,802.0,Favored Enemy: Beasts,"Minsc has a history with Beast enemies, so with his direction the party does additional damage to any Beasts.",
1,"effect_def,16",7,110,Favored Enemy: Undead,50,0,Minsc favors hunting Undead enemies. They take additional damage from the party.,806.0,Favored Enemy: Undead,"Minsc has a history with Undead enemies, so with his direction the party does additional damage to any Undead.",
1,"effect_def,17",7,111,Favored Enemy: Fey,50,0,Minsc favors hunting Fey enemies. They take additional damage from the party.,803.0,Favored Enemy: Fey,"Minsc has a history with Fey enemies, so with his direction the party does additional damage to any Fey.",
1,"effect_def,18",7,112,Favored Enemy: Monstrosities,50,0,Minsc favors hunting Monstrosity enemies. They take additional damage from the party.,805.0,Favored Enemy: Monstrosities,"Minsc has a history with Monstrosity enemies, so with his direction the party does additional damage to any Monstrosities.",
1,"hero_dps_multiplier_mult,400",7,113,,75,0,,,,,
1,"hero_dps_multiplier_mult,500",7,114,,100,0,,,,,
1,"set_ultimate_attack,14",7,115,,125,0,,,,,
1,"hero_dps_multiplier_mult,300",7,116,,150,0,,,,,
1,"buff_upgrade,100,108",7,117,,175,108,,,,,
1,"buff_upgrade,100,109",7,118,,175,109,,,,,
1,"buff_upgrade,100,110",7,119,,175,110,,,,,
1,"buff_upgrade,100,111",7,120,,175,111,,,,,
1,"buff_upgrade,100,112",7,121,,175,112,,,,,
1,"hero_dps_multiplier_mult,300",7,122,,200,0,,,,,
1,"hero_dps_multiplier_mult,100",8,123,,650,0,,,,,
1,"hero_dps_multiplier_mult,200",8,124,,725,0,,,,,
1,"attacks_ricochet,50,1",8,125,Twinned Spell,25,0,,,,"Delina's attacks ricochet off of the enemy hit and damage a nearby enemy for additional damage, making her excel at clearing out small groups of enemies.",
1,"hero_dps_multiplier_mult,100",8,126,,75,0,,,,,
1,"set_ultimate_attack,16",8,127,,100,0,,,,,
1,"add_damage_over_time,50,2,187",8,128,Empowered Spell,150,0,,,,"Delina is a pure damage dealer. Her attacks burn enemies hit for additional damage, further increasing her damage done against them.",
1,"buff_upgrade,100,125",8,129,,200,0,Delina focuses on increasing the damage her Twinned Spell does to enemies.,795.0,Font of Magic,,
1,"buff_upgrade,100,128",8,130,,200,0,Delina focuses on increasing the extra damage done by her Empowered Spells.,794.0,Endless Empowerment,,
1,"buff_upgrade,100,125",8,131,,500,129,,,,,
1,"hero_dps_multiplier_mult,100",8,132,,400,0,,,,,
1,"buff_upgrade,100,125",8,133,,800,129,,,,,
1,"hero_dps_multiplier_mult,200",8,134,,575,0,,,,,
1,"hero_dps_multiplier_mult,300",9,135,,40,0,,,,,
1,"hero_dps_multiplier_mult,400",9,136,,50,0,,,,,
1,"hero_dps_multiplier_mult,100",9,137,,10,0,,,,,
1,"owner_killing_blow_gold_bonus,100",9,139,Dark Luck,15,0,Makos' dark pact with his fiendish patron results in monsters killed by him dropping more gold.,801.0,Dark Luck,Enemies that Makos lands the killing blow on drop additional gold. ,
1,"effect_def,23",9,140,Dark Blessing,15,0,"Makos' dark pact allows him to bless those who are not next to him, causing them to do more damage.",800.0,Dark Blessing,Champions that are not adjacent to Makos deal additional damage. Make sure he's not adjacent to other damage dealers to increase their damage.,
1,"hero_dps_multiplier_mult,200",9,141,,20,0,,,,,
1,"set_ultimate_attack,18",9,142,,25,0,,,,,
1,"hero_dps_multiplier_mult,300",9,143,,30,0,,,,,
1,"global_dps_multiplier_mult,100",10,144,,20,0,,,,,
1,"effect_def,24",10,145,Moonbeam,45,0,"Tyril draws upon a beam of pure moonlight, increasing the damage of all Champions. He also gains the ability to heal those near him over time.",809.0,Moonbeam,"Tyril increases your party's damage, but the increase is reduced by each Champion next to him. Keep him on his own to maximize the benefit.",
1,"effect_def,25",10,146,Wild Shape,45,0,Tyril transforms into a bear and gains additional hit points and damage reduction abilities over time.,810.0,Wild Shape,Tyril can be an excellent tank. Keep him at the front of your formation to soak up damage.,unlock_ability
1,"set_ultimate_attack,20",10,147,,60,145,,,,,
1,"global_dps_multiplier_mult,100",10,148,,75,0,,,,,
1,"health_add,490000000000",10,149,,90,146,,,,,increase_health
1,"effect_def,26",10,150,Druidic Healing,125,145,,,,Tyril heals those next to him. Place him next to your front-line tanks to help keep them alive longer.,increase_health
1,"effect_def,27",10,151,Wild Resilience,125,146,,,,Tyril reduces damage done to himself by a certain amount each hit. Place him at the front of your formation to protect your other Champions.,increase_health
1,"global_dps_multiplier_mult,100",10,152,,150,145,,,,,
1,"health_add,3800000000000",10,153,,140,146,,,,,increase_health
1,"global_dps_multiplier_mult,100",10,313,,350,145,,,,,
1,"hero_dps_multiplier_mult,200",1,157,,80,0,,,,,
1,"hero_dps_multiplier_mult,300",1,158,,125,0,,,,,
1,"hero_dps_multiplier_mult,300",1,159,,180,0,,,,,
1,"hero_dps_multiplier_mult,200",1,160,,350,0,,,,,
1,"hero_dps_multiplier_mult,400",1,161,,375,7,,,,,
1,"hero_dps_multiplier_mult,300",1,162,,425,0,,,,,
1,"hero_dps_multiplier_mult,200",1,163,,450,6,,,,,
1,"hero_dps_multiplier_mult,400",1,164,,450,7,,,,,
1,"hero_dps_multiplier_mult,100",1,165,,525,6,,,,,
1,"hero_dps_multiplier_mult,200",1,166,,525,7,,,,,
1,"hero_dps_multiplier_mult,300",1,167,,575,0,,,,,
1,"hero_dps_multiplier_mult,100",1,168,,550,6,,,,,
1,"hero_dps_multiplier_mult,100",1,169,,275,7,,,,,
1,"hero_dps_multiplier_mult,200",1,170,,375,6,,,,,
1,"hero_dps_multiplier_mult,400",2,171,,60,0,,,,,
1,"hero_dps_multiplier_mult,300",2,172,,80,0,,,,,
1,"hero_dps_multiplier_mult,400",2,173,,110,0,,,,,
1,"hero_dps_multiplier_mult,400",2,174,,145,0,,,,,
1,"hero_dps_multiplier_mult,100",2,175,,165,0,,,,,
1,"hero_dps_multiplier_mult,300",2,176,,190,0,,,,,
1,"hero_dps_multiplier_mult,300",2,177,,215,0,,,,,
1,"hero_dps_multiplier_mult,200",2,178,,235,0,,,,,
1,"hero_dps_multiplier_mult,300",2,179,,260,0,,,,,
1,"hero_dps_multiplier_mult,100",2,180,,275,0,,,,,
1,"hero_dps_multiplier_mult,400",3,181,,60,0,,,,,
1,"hero_dps_multiplier_mult,400",3,182,,80,0,,,,,
1,"hero_dps_multiplier_mult,400",3,183,,105,0,,,,,
1,"hero_dps_multiplier_mult,100",3,184,,115,0,,,,,
1,"hero_dps_multiplier_mult,300",3,185,,135,0,,,,,
1,"hero_dps_multiplier_mult,400",3,186,,160,0,,,,,
1,"hero_dps_multiplier_mult,900",3,187,,185,0,,,,,
1,"hero_dps_multiplier_mult,400",3,188,,205,0,,,,,
1,"hero_dps_multiplier_mult,300",3,189,,220,0,,,,,
1,"hero_dps_multiplier_mult,100",4,190,,140,0,,,,,
1,"hero_dps_multiplier_mult,300",4,191,,185,0,,,,,
1,"hero_dps_multiplier_mult,300",4,192,,230,0,,,,,
1,"hero_dps_multiplier_mult,100",4,193,,270,0,,,,,
1,"hero_dps_multiplier_mult,200",4,194,,325,0,,,,,
1,"hero_dps_multiplier_mult,200",5,195,,105,0,,,,,
1,"hero_dps_multiplier_mult,300",5,196,,135,0,,,,,
1,"hero_dps_multiplier_mult,400",5,197,,175,0,,,,,
1,"hero_dps_multiplier_mult,300",5,198,,220,0,,,,,
1,"hero_dps_multiplier_mult,400",5,199,,250,0,,,,,
1,"hero_dps_multiplier_mult,100",5,200,,275,0,,,,,
1,"hero_dps_multiplier_mult,300",6,201,,90,0,,,,,
1,"hero_dps_multiplier_mult,200",6,202,,110,0,,,,,
1,"hero_dps_multiplier_mult,200",7,203,,120,0,,,,,
1,"hero_dps_multiplier_mult,200",7,204,,170,0,,,,,
1,"hero_dps_multiplier_mult,100",8,205,,350,0,,,,,
1,"hero_dps_multiplier_mult,100",8,206,,275,0,,,,,
1,"hero_dps_multiplier_mult,100",8,207,,450,0,,,,,
1,"hero_dps_multiplier_mult,300",2,208,,295,0,,,,,
1,"buff_upgrade,100,24",2,209,,310,29,,,,,
1,"buff_upgrade,300,26",2,210,,305,0,,,,,increase_health
1,"global_dps_multiplier_mult,100",2,211,,365,29,,,,,
1,"hero_dps_multiplier_mult,300",2,212,,330,0,,,,,
1,"hero_dps_multiplier_mult,500",2,213,,360,0,,,,,
1,"hero_dps_multiplier_mult,200",2,214,,380,0,,,,,
1,"buff_upgrade,200,24",2,215,,400,29,,,,,
1,"buff_upgrade,300,26",2,216,,405,0,,,,,increase_health
1,"hero_dps_multiplier_mult,300",2,217,,425,0,,,,,
1,"global_dps_multiplier_mult,100",2,218,,455,0,,,,,
1,"hero_dps_multiplier_mult,200",2,219,,445,0,,,,,
1,"buff_upgrade,100,24",2,220,,500,0,,,,,
1,"hero_dps_multiplier_mult,300",2,221,,480,0,,,,,
1,"buff_upgrade,100,24",2,222,,550,29,,,,,
1,"buff_upgrade,300,26",2,223,,520,0,,,,,increase_health
1,"hero_dps_multiplier_mult,300",2,224,,510,0,,,,,
1,"hero_dps_multiplier_mult,200",2,225,,540,0,,,,,
1,"buff_upgrade,100,4",1,236,,900,7,,,,,
1,"hero_dps_multiplier_mult,100",1,226,,625,0,,,,,
1,"hero_dps_multiplier_mult,300",1,227,,660,6,,,,,
1,"buff_upgrade,100,2",1,228,,700,6,,,,,
1,"buff_upgrade,200,4",1,229,,700,7,,,,,
1,"hero_dps_multiplier_mult,200",1,230,,735,0,,,,,
1,"hero_dps_multiplier_mult,300",1,231,,770,0,,,,,
1,"hero_dps_multiplier_mult,200",1,232,,840,0,,,,,
1,"hero_dps_multiplier_mult,100",1,233,,880,0,,,,,
1,"hero_dps_multiplier_mult,200",1,235,,660,7,,,,,
1,"effect_def,33",11,237,Reckless Attack,35,0,,,,"Jamilah deals additional damage, but takes more damage herself when hit. She should not be placed at the front of your formation.",
1,"add_attack_nearby_targets,1,50",11,238,Frenzy,40,0,,,,"While attacking, Jamilah will leap to a second nearby enemy and damage it as well, making her more effective against groups of enemies.",
1,"hero_dps_multiplier_mult,200",11,239,,50,0,"Jamilah focuses her energy on increasing her damage done per attack, resulting in more damage per hit.",796.0,Brute Strength,,
1,"reduce_attack_cooldown,2",11,240,,50,0,"Jamilah focuses her energy on speeding up her attacks, resulting in less damaging but more frequent attacks.",797.0,Uncanny Speed,,
1,"effect_def,30",12,241,First In Line,3,0,,,,"Arkhan does more damage if he's on the front lines, bashing skulls and taking names. Place him at the front of your formation.",
1,"effect_def,31",12,242,Loyalty,9,0,,,,Arkhan's health is increased if there are at least two Champions in the column behind him. Place him in such a way that there always are.,
1,"set_ultimate_attack,28",12,243,,18,0,"Chango, Arkhan's subservient Manticore, joins the battle, replacing Arkhan's Ultimate attack with a devastating single target attack.",784.0,Chango Unchained,,
1,"effect_def,32",12,244,,18,0,"Chango, Arkhan's subservient Manticore, offers his life force to Arkhan, increasing his fortitude and providing self healing abilities.",783.0,Chango Restrained,,unlock_ability
1,"increase_monster_attack_priority,2",3,245,,225,44,,,,,
1,"health_add,28000000000",3,246,,210,44,,,,,increase_health
1,"health_add,40000000000000",3,247,,275,44,,,,,increase_health
1,"health_add,5500000",3,248,,130,44,,,,,increase_health
1,"health_add,760000000000",3,249,,240,44,,,,,increase_health
1,"health_add,2400000000000000",3,250,,305,44,,,,,increase_health
1,"health_add,64000000000000000",3,251,,330,44,,,,,increase_health
1,"hero_dps_multiplier_mult,400",3,252,,250,0,,,,,
1,"hero_dps_multiplier_mult,200",3,253,,265,0,,,,,
1,"hero_dps_multiplier_mult,300",3,254,,295,0,,,,,
1,"hero_dps_multiplier_mult,300",3,255,,310,0,,,,,
1,"hero_dps_multiplier_mult,200",3,256,,325,0,,,,,
1,"hero_dps_multiplier_mult,300",3,257,,350,0,,,,,
1,"global_dps_multiplier_mult,100",3,258,,225,43,,,,,
1,"buff_upgrade,100,38",3,259,,275,43,,,,,
1,"buff_upgrade,100,38",3,260,,300,43,,,,,
1,"global_dps_multiplier_mult,100",3,261,,345,43,,,,,
1,"hero_dps_multiplier_mult,300",4,262,,430,0,,,,,
1,"hero_dps_multiplier_mult,200",4,263,,450,0,,,,,
1,"hero_dps_multiplier_mult,200",4,264,,480,0,,,,,
1,"gold_multiplier_mult,10",4,265,,490,0,,,,,
1,"buff_upgrade,200,52",4,266,,500,58,,,,,
1,"buff_upgrade,100,55",4,267,,500,59,,,,,
1,"hero_dps_multiplier_mult,100",4,268,,520,0,,,,,
1,"hero_dps_multiplier_mult,200",5,269,,300,0,,,,,
1,"hero_dps_multiplier_mult,300",5,270,,340,0,,,,,
1,"global_dps_multiplier_mult,100",5,271,,350,76,,,,,
1,"hero_dps_multiplier_mult,200",5,272,,370,0,,,,,
1,"buff_upgrade,100,71",5,273,,400,75,,,,,
1,"buff_upgrade,300,72",5,274,,395,0,,,,,increase_health
1,"hero_dps_multiplier_mult,300",5,275,,410,0,,,,,
1,"hero_dps_multiplier_mult,200",5,276,,440,0,,,,,
1,"hero_dps_multiplier_mult,300",5,277,,480,0,,,,,
1,"global_dps_multiplier_mult,100",5,278,,475,0,,,,,
1,"hero_dps_multiplier_mult,200",5,279,,515,0,,,,,
1,"hero_dps_multiplier_mult,200",6,280,,170,0,,,,,
1,"hero_dps_multiplier_mult,200",6,281,,185,0,,,,,
1,"hero_dps_multiplier_mult,300",6,282,,225,0,,,,,
1,"hero_dps_multiplier_mult,100",6,283,,235,0,,,,,
1,"hero_dps_multiplier_mult,400",7,284,,230,0,,,,,
1,"hero_dps_multiplier_mult,400",7,285,,260,0,,,,,
1,"hero_dps_multiplier_mult,400",7,286,,300,0,,,,,
1,"buff_upgrade,100,128",8,287,,500,130,,,,,
1,"buff_upgrade,100,128",8,288,,800,130,,,,,
1,"hero_dps_multiplier_mult,100",8,289,,850,0,,,,,
1,"hero_dps_multiplier_mult,200",8,290,,925,0,,,,,
1,"hero_dps_multiplier_mult,100",8,291,,975,0,,,,,
1,"hero_dps_multiplier_mult,500",9,292,,60,0,,,,,
1,"hero_dps_multiplier_mult,100",9,293,,55,0,,,,,
1,"buff_upgrade,100,139",9,294,,45,139,,,,,
1,"hero_dps_multiplier_mult,100",9,295,,65,0,,,,,
1,"hero_dps_multiplier_mult,200",9,296,,70,0,,,,,
1,"hero_dps_multiplier_mult,100",9,297,,75,0,,,,,
1,"hero_dps_multiplier_mult,100",10,298,,110,0,,,,,
1,"hero_dps_multiplier_mult,200",10,299,,175,0,,,,,
1,"hero_dps_multiplier_mult,200",10,300,,210,0,,,,,
1,"hero_dps_multiplier_mult,200",10,301,,295,0,,,,,
1,"hero_dps_multiplier_mult,100",10,302,,325,0,,,,,
1,"hero_dps_multiplier_mult,200",10,303,,390,0,,,,,
1,"health_add,100000000000000",10,364,,215,146,,,,,increase_health
1,"health_add,460000000000000",10,305,,250,146,,,,,increase_health
1,"health_add,9500000000000000",10,306,,320,146,,,,,increase_health
1,"health_add,50000000000000000",10,307,,350,146,,,,,increase_health
1,"set_ultimate_attack,24",11,308,,60,0,,,,,
1,"hero_dps_multiplier_mult,200",11,309,,70,0,,,,,
1,"hero_dps_multiplier_mult,200",11,310,,75,0,,,,,
1,"global_dps_multiplier_mult,100",10,312,,250,145,,,,,
1,"set_ultimate_attack,26",12,314,,12,0,,,,,
1,"hero_dps_multiplier_mult,200",12,315,,25,0,,,,,
1,"buff_upgrade,500,26",2,316,,170,0,,,,,increase_health
1,"buff_upgrade,600,26",2,317,,230,0,,,,,increase_health
1,"buff_upgrade,400,26",2,321,,370,0,,,,,increase_health
1,"buff_upgrade,400,26",2,318,,250,0,,,,,increase_health
1,"buff_upgrade,200,26",2,319,,285,0,,,,,increase_health
1,"hero_dps_multiplier_mult,100",12,441,,15,0,,,,,
1,"buff_upgrade,400,72",5,326,,230,0,,,,,increase_health
1,"buff_upgrade,400,26",2,322,,450,0,,,,,increase_health
1,"buff_upgrade,400,26",2,323,,485,0,,,,,increase_health
1,"buff_upgrade,400,26",2,324,,535,0,,,,,increase_health
1,"buff_upgrade,500,72",5,325,,180,0,,,,,increase_health
1,"buff_upgrade,100,72",5,327,,245,0,,,,,increase_health
1,"buff_upgrade,400,72",5,328,,295,0,,,,,increase_health
1,"buff_upgrade,200,72",5,329,,375,0,,,,,increase_health
1,"buff_upgrade,300,72",5,330,,415,0,,,,,increase_health
1,"buff_upgrade,100,71",5,331,,525,75,,,,,
1,"buff_upgrade,300,72",5,333,,435,0,,,,,increase_health
1,"buff_upgrade,500,72",5,334,,530,0,,,,,increase_health
1,"buff_upgrade,600,151",10,335,,190,146,,,,,increase_health
1,"buff_upgrade,200,151",10,336,,220,146,,,,,increase_health
1,"buff_upgrade,600,151",10,337,,260,146,,,,,increase_health
1,"buff_upgrade,300,151",10,338,,330,146,,,,,increase_health
1,"buff_upgrade,200,151",10,339,,360,146,,,,,increase_health
1,"buff_upgrade,200,150",10,340,,155,145,,,,,increase_health
1,"buff_upgrade,200,150",10,341,,180,145,,,,,increase_health
1,"buff_upgrade,200,145",10,342,,200,145,,,,,
1,"buff_upgrade,200,150",10,343,,205,145,,,,,increase_health
1,"buff_upgrade,300,150",10,344,,265,145,,,,,increase_health
1,"buff_upgrade,100,145",10,345,,290,145,,,,,
1,"buff_upgrade,500,150",10,346,,300,145,,,,,increase_health
1,"buff_upgrade,100,145",10,347,,330,145,,,,,
1,"buff_upgrade,200,150",10,348,,375,145,,,,,increase_health
1,"set_ultimate_attack,27",10,349,,60,146,,,,,
1,"hero_dps_multiplier_mult,400",2,350,,25,0,,,,,
1,"hero_dps_multiplier_mult,400",5,351,,70,0,,,,,
1,"buff_upgrade,300,26",2,352,,270,0,,,,,increase_health
1,"buff_upgrade,300,26",2,353,,325,0,,,,,increase_health
1,"buff_upgrade,400,26",2,354,,345,0,,,,,increase_health
1,"buff_upgrade,400,26",2,355,,390,0,,,,,increase_health
1,"buff_upgrade,100,26",2,356,,420,0,,,,,increase_health
1,"buff_upgrade,300,26",2,357,,430,0,,,,,increase_health
1,"buff_upgrade,300,26",2,358,,465,0,,,,,increase_health
1,"buff_upgrade,700,26",2,360,,505,0,,,,,increase_health
1,"buff_upgrade,100,26",2,361,,385,30,,,,,increase_health
1,"buff_upgrade,200,151",10,362,,155,146,,,,,increase_health
1,"health_add,21000000000000",10,363,,180,146,,,,,increase_health
1,"health_add,3000000000000000",10,365,,290,146,,,,,increase_health
1,"buff_upgrade,500,151",10,366,,300,146,,,,,increase_health
1,"health_add,530000000000000000",10,367,,395,146,,,,,increase_health
1,"buff_upgrade,900,151",10,368,,400,146,,,,,increase_health
