export_params,fs,graphic,id,p,type,v
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/Clearing_Far,49,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/Clearing_Mid,50,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/Clearing_01_Near,51,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWood_02_Mid,52,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWood_02_Near,53,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWood_03_Mid,54,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/NeverwinterWood_03_Near,55,0,6,1
{'uses': ['map']},0,Map/SwordCoastMap2,56,0,6,1
{'uses': ['map']},0,Map/Campaign00_MapLocations,57,0,6,12
"{'uses': ['visual_effect'], 'export_animation': True}",0,Effects/Effect_MeleeHit,58,0,1,1
"{'uses': ['visual_effect'], 'export_animation': True}",0,Effects/Effect_MeleeHitRed,59,0,1,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollMelee_1,60,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollMelee_2,61,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollMelee_3,62,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollMelee_4,63,0,3,1
"{'uses': ['breakable'], 'export_animation': True}",0,Breakables/Breakable_Forest_Bush,64,0,1,1
"{'uses': ['breakable'], 'export_animation': True}",0,Breakables/Breakable_Forest_Crate,65,0,1,1
"{'uses': ['breakable'], 'export_animation': True}",0,Breakables/Breakable_Forest_RockPile,66,0,1,1
{'uses': ['mini_map']},0,Map/MiniMapChunk_Mirabar,68,0,1,1
"{'available_sizes': ['default'], 'uses': ['icon'], 'compress': False}",0,Icons/GoldIcon,69,0,1,2
"{'available_sizes': ['default'], 'uses': ['icon'], 'export_animation': True}",0,Icons/LargeGoldGoober,70,0,1,1
"{'available_sizes': ['22x22', 'default', '24x24', '64x64'], 'uses': ['chest']}",0,Icons/Icon_SilverChest,71,0,1,1
"{'available_sizes': ['22x22', 'default', '24x24', '64x64'], 'uses': ['chest']}",0,Icons/JewelledTreasureChest,72,0,1,1
{'uses': ['monster']},0,Monsters/Abberations/Monster_Abberation_Nothic,73,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_AngryBoar,74,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_Bear,75,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_Boar,76,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_CursedCow,77,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_cursedRat,78,0,3,2
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_CursedWarhorse,79,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_DireWolf,80,0,3,3
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantCaterpillar,81,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantCaterpillarBoss,82,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantCentipede,83,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantCrab,84,0,3,2
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantFrog,85,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantRat,86,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantSpider,87,0,3,2
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GiantTarantula,88,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_GrizzlyBear,89,0,3,2
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_Rabbit,90,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_SwarmOfBees,91,0,3,2
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_SwarmOfFlies,92,0,3,3
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_Vulture,93,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_Wolf,94,0,3,1
{'uses': ['monster']},0,Monsters/Beasts/Monster_Beast_WolfPup,95,0,3,1
{'uses': ['monster']},0,Monsters/Constructs/Monster_Construct_AnimatedCleaningSupplies,96,0,3,1
{'uses': ['monster']},0,Monsters/Constructs/Monster_Construct_StoneGolem,97,0,3,1
{'uses': ['monster']},0,Monsters/Devils/Monster_Devil_GreaterImp,98,0,3,1
{'uses': ['monster']},0,Monsters/Devils/Monster_Devil_LesserImp,99,0,3,1
{'uses': ['monster']},0,Monsters/Devils/Monster_Devil_ShadowImp,100,0,3,2
{'uses': ['monster']},0,Monsters/Elementals/Monster_Elemental_EarthMephit,101,0,3,1
{'uses': ['monster']},0,Monsters/Elementals/Monster_Elemental_GalebDuhr,102,0,3,1
{'uses': ['monster']},0,Monsters/Elementals/Monster_Elemental_Gargoyle,103,0,3,1
{'uses': ['monster']},0,Monsters/Elementals/Monster_Elemental_LesserFire,104,0,3,1
{'uses': ['monster']},0,Monsters/Elementals/Monster_Elemental_MagmaMephit,105,0,3,2
{'uses': ['monster']},0,Monsters/Fey/Monster_Fey_Dryad,106,0,3,1
{'uses': ['monster']},0,Monsters/Fey/Monster_Fey_Pixie,107,0,3,1
{'uses': ['monster']},0,Monsters/Fey/Monster_Fey_PixieLeaderRidingBear,108,0,3,1
{'uses': ['monster']},0,Monsters/Fey/Monster_Fey_SatyrLeader,109,0,3,1
{'uses': ['monster']},0,Monsters/Fey/Monster_Fey_SatyrMelee,110,0,3,1
{'uses': ['monster']},0,Monsters/Fey/Monster_Fey_SatyrRanged,111,0,3,1
{'uses': ['monster']},0,Monsters/Fey/Monster_Fey_Sprite,112,0,3,1
{'uses': ['monster']},0,Monsters/Fiends/Monster_Fiend_DretchBoss,113,0,3,1
{'uses': ['monster']},0,Monsters/Fiends/Monster_Fiend_Quasit,114,0,3,1
{'uses': ['monster']},0,Monsters/Fiends/Monster_Fiend_Succubus,115,0,3,1
{'uses': ['monster']},0,Monsters/Giants/Monster_Giant_ChainedOgre,116,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_CursedCleric,117,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_CursedFarmer,118,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_CursedFarmhand,119,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_DerangedDruid,120,0,3,2
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_DrunkPatron,121,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_DrunkWizard,122,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GladeHag,123,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollKing,124,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollLeader,125,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollRanged,126,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollSlimed,127,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Goblin,128,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GoblinWarleader,129,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_HalfOrcBandit,130,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_HalfOrcBanditLeader,131,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Hobgoblin,132,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_HobGoblinPriest,133,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_HobgoblinShadowBoss,134,0,3,3
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_HumanBanditMelee,135,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_HumanBanditRanged,136,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_MadWizard,137,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Werebear,138,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WerebearLeader,139,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Wereboar,140,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WereboarLeader,141,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Wererat,142,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WereratKing,143,0,3,2
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WereratLeader,144,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WereratSentry,145,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WeretigerLibrarian,146,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Werewolf,147,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WerewolfDashing,148,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_WerewolfLeader,149,0,3,1
{'uses': ['monster']},0,Monsters/Monstrosities/Monster_Monstrosity_GreaterMimic,150,0,3,1
{'uses': ['monster']},0,Monsters/Monstrosities/Monster_Monstrosity_Harpy,151,0,3,1
{'uses': ['monster']},0,Monsters/Monstrosities/Monster_Monstrosity_HarpyQueen,152,0,3,2
{'uses': ['monster']},0,Monsters/Monstrosities/Monster_Monstrosity_Mimic,153,0,3,1
{'uses': ['monster']},0,Monsters/Monstrosities/Monster_Monstrosity_Owlbear,154,0,3,1
{'uses': ['monster']},0,Monsters/Monstrosities/Monster_Monstrosity_Worg,155,0,3,1
{'uses': ['monster']},0,Monsters/Oozes/Monster_Ooze_GelatinousCube,156,0,3,3
{'uses': ['monster']},0,Monsters/Plants/Monster_Plants_ShamblingMound,157,0,3,1
{'uses': ['monster']},0,Monsters/Plants/Monster_Plants_Treant,158,0,3,1
{'uses': ['monster']},0,Monsters/Plants/Monster_Plants_WoodWoad,159,0,3,1
{'uses': ['monster']},0,Monsters/Undead/Monster_Undead_CrawlingClaw,160,0,3,1
{'uses': ['monster']},0,Monsters/Undead/Monster_Undead_CrawlingClawBoss,161,0,3,1
{'uses': ['monster']},0,Monsters/Undead/Monster_Undead_Lich,162,0,3,3
{'uses': ['monster']},0,Monsters/Undead/Monster_Undead_Shadow,163,0,3,1
{'uses': ['monster']},0,Monsters/Undead/Monster_Undead_ZombieOrc,164,0,3,1
{'uses': ['monster']},0,Monsters/Undead/Monster_Undead_ZombieVillager,165,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Bruenor_Large,174,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Celeste_Large,175,0,3,1
{'uses': ['crusader']},0,Characters/Hero_VasenCale_Large,176,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Jarlaxle_Large,177,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Calliope_Large,178,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Asharra_Large,179,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Minsc_Large,180,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Delina_Large,181,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Makos_Large,182,0,3,1
{'uses': ['crusader']},0,Characters/Hero_Tyril_Large,183,0,3,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_TempHP_Shield,184,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_Ricochet,185,0,1,1
{'uses': ['effect']},0,Effects/Effect_Favored,186,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_FireDOT,187,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_Frighten,188,0,1,3
{'uses': ['icon']},0,Icons/BonusGoldIcon,189,0,1,3
{'uses': ['icon']},0,Icons/BonusLargeGoldGoober,190,0,1,3
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_KillingBlow_Gold,191,0,1,2
{'uses': ['pet']},0,Characters/Character_Boo,192,0,3,2
{'uses': ['effect']},0,Effects/Effect_BooSpark1,193,0,1,2
{'uses': ['effect']},0,Effects/Effect_BooSpark2,194,0,1,2
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_Commander,195,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_CommanderReceived,196,0,1,1
{'uses': ['effect']},0,Effects/Effect_DivinityStar,197,0,1,1
{'uses': ['effect']},0,Effects/Effect_Smite,198,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_SmiteStun,199,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_Gust,200,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_WeaponPact,201,0,1,1
{'uses': ['crusader']},0,Characters/Hero_Nayeli,202,0,3,1
{'uses': ['portrait']},0,Portraits/Portrait_Nayeli,203,0,1,1
{'uses': ['crusader']},0,Characters/Hero_Nayeli_Large,204,0,3,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BeastIntentions/ForestTrail_Far,205,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BeastIntentions/ForestTrail_Fore,206,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BeastIntentions/ForestTrail_Mid,207,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BeastIntentions/ForestTrail_Near,208,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BeastIntentions/PlainsRoadwaySmashedWagon_Far,209,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BeastIntentions/PlainsRoadwaySmashedWagon_Mid,210,0,6,1
"{'available_sizes': ['default'], 'uses': ['background'], 'compress': False}",0,Backgrounds/BeastIntentions/PlainsRoadwaySmashedWagon_Near,211,0,6,1
"{'available_sizes': ['default'], 'uses': ['icon']}",0,Icons/Icon_GoldSackSale1,212,0,1,1
"{'available_sizes': ['default'], 'uses': ['icon']}",0,Icons/Icon_GoldSackSale2,213,0,1,1
"{'available_sizes': ['default'], 'uses': ['icon']}",0,Icons/Icon_GoldSackSale3,214,0,1,1
"{'available_sizes': ['default'], 'uses': ['icon']}",0,Icons/Icon_GoldSackSale4,215,0,1,1
"{'available_sizes': ['default'], 'uses': ['icon']}",0,Icons/Icon_GoldSackSale5,216,0,1,1
"{'available_sizes': ['default'], 'uses': ['icon']}",0,Icons/Icon_GoldSackSale6,217,0,1,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_GnollRanged_2,218,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_HalfOrcBandit_2,219,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Werebear_2,220,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Wererat_2,221,0,3,1
{'uses': ['monster']},0,Monsters/Humanoids/Monster_Humanoid_Werewolf_2,222,0,3,1
{'uses': ['effect']},0,Effects/Effect_Rain,223,0,1,1
"{'uses': ['effect'], 'export_animation': True}",0,Effects/Effect_Rain_Splash,224,0,1,1
{'uses': ['projectile']},0,Projectiles/SatyrRangedArrow,225,0,1,1
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Armlet1,226,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Armlet2,227,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Armlet3,228,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Necklace1,229,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Necklace2,230,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Necklace3,231,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Pouch1,232,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Pouch2,233,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Pouch3,234,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Robes1,235,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Robes2,236,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Robes3,237,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Spear1,238,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Spear2,239,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_Spear3,240,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_WindOrb1,241,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_WindOrb2,242,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Asharra/Icon_Equipment_Asharra_WindOrb3,243,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Axe1,244,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Axe2,245,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Axe3,246,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_BeardClips1,247,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_BeardClips2,248,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_BeardClips3,249,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Belt1,250,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Belt2,251,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Belt3,252,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Helment3,253,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Helmet1,254,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Helmet2,255,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Ring1,256,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Ring2,257,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Ring3,258,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Shield1,259,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Shield2,260,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Bruenor/Icon_Equipment_Bruenor_Shield3,261,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Bag1,262,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Bag2,263,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Bag3,264,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Bracers1,265,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Bracers2,266,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Bracers3,267,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Cloak1,268,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Cloak2,269,0,1,5
"{'available_sizes': ['default', '128x128'], 'uses': ['equipment']}",0,Icons/Equipment/Calliope/Icon_Equipment_Calliope_Cloak3,270,0,1,5
