description,effects,graphic_id,hero_id,id,name,rarity,slot_id
An understated headband with a small blue gem.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",292,2,25,Iron Headband,1,1
A scuffed headband with brilliant potential.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",292,2,26,Silver Headband,2,1
A complex headband composed of dozens of golden leaves.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",293,2,27,Gold Headband,3,1
A golden headband inlaid with a brilliant blue sapphire.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",294,2,28,Ornate Headband of Faith,4,1
"They'll keep the dust off my hands, at least.","[{'effect_string': 'global_dps_multiplier_mult,10'}]",289,2,29,Cloth Gauntlets,1,2
The inside is padded to protect against bumps and bruises.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",289,2,30,Leather Gauntlets,2,2
Masterfully crafted to fit my hands precisely.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",290,2,31,Golden Gauntlets,3,2
The small inlaid sapphires - tears of Selûne herself - empower myself and my allies.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",291,2,32,Scale Gauntlets of Selûne,4,2
A basic belt from a simpler time in my life.,"[{'effect_string': 'buff_upgrade,25,24'}]",283,2,33,Cloth Belt,1,3
Given to me by a sister cleric on my first day of worship at the temple.,"[{'effect_string': 'buff_upgrade,87.5,24'}]",283,2,34,Soft Belt,2,3
This belt has saved my life in battle many times.,"[{'effect_string': 'buff_upgrade,150,24'}]",284,2,35,Thick Scalemail Belt,3,3
The texture of this belt matches exactly the face of the goddess above.,"[{'effect_string': 'buff_upgrade,275,24'}]",285,2,36,Obsidian Scale Belt of the Moon,4,3
Commonly carried by many of Selûne's acolytes.,"[{'effect_string': 'buff_upgrade,25,26'}]",280,2,37,Iron Amulet,1,4
A more durable form of a commonly carried amulet.,"[{'effect_string': 'buff_upgrade,87.5,26'}]",280,2,38,Steel Amulet,2,4
"Often mistaken for gold, this amulet shines nearly as bright.","[{'effect_string': 'buff_upgrade,150,26'}]",281,2,39,Copper Amulet,3,4
One of the few relics recovered from Shadowmantle's undead horde.,"[{'effect_string': 'buff_upgrade,275,26'}]",282,2,40,Golden Amulet of the Goddess,4,4
"Comfortable, but not ideal for long journeys such as this one.","[{'effect_string': 'buff_ultimate,25'}]",286,2,41,Cloth Boots,1,5
"Durable and soft, these boots can last a lifetime if properly cared for.","[{'effect_string': 'buff_ultimate,87.5'}]",286,2,42,Smooth Leather Boots,2,5
"Not the stealthiest boot, but then stealth was never my style.","[{'effect_string': 'buff_ultimate,150'}]",287,2,43,Chainmail Boots,3,5
One of Selûne's skilled followers crafted these for me after I saved them.,"[{'effect_string': 'buff_ultimate,275'}]",288,2,44,Well Fitted Boots of Fellowship,4,5
"Though old, this item still holds a dear place in my heart.","[{'effect_string': 'reduce_ultimate_cooldown,5'}]",295,2,45,Faded Holy Symbol,1,6
Never underestimate the wrath of an angry goddess.,"[{'effect_string': 'reduce_ultimate_cooldown,9'}]",295,2,46,Understated Holy Symbol,2,6
A fine tribute to the true goddess of the night sky.,"[{'effect_string': 'reduce_ultimate_cooldown,18'}]",296,2,47,Ornate Holy Symbol,3,6
Bestowed upon me by the goddess herself in my greatest time of need.,"[{'effect_string': 'reduce_ultimate_cooldown,45'}]",297,2,48,Holy Symbol of Selûne's Grace,4,6
A faded owl motif. Someday I'll tell you the story of it.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",376,3,49,Faded Figurine,1,1
A magical item used to hunt down those who have done wrong.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",376,3,50,Hunting Figurine,2,1
A brilliant serpentine owl figurine imbued with magical power.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",377,3,51,Detailed Owl Figurine,3,1
A wondrous item that grants me the power to track down those I've sworn vengeance against.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",378,3,52,Figurine Of Wondrous Power,4,1
"It's starting to rust, but it can still take a few good blows.","[{'effect_string': 'health_mult,25'}]",370,3,53,Tarnished Breastplate,1,2
"A sturdy breastplate. Well enough to deliver evenhanded justice in, at least.","[{'effect_string': 'health_mult,87.5'}]",370,3,54,Iron Breastplate,2,2
"A fine breastplate, crafted using a special steel alloy known only to a few.","[{'effect_string': 'health_mult,150'}]",371,3,55,Ornate Breastplate,3,2
"It borders on gaudy, but you can't deny its raw power.","[{'effect_string': 'health_mult,275'}]",372,3,56,Breastplate of the Devoted Champion,4,2
"It restricts my movement, but not enough to hinder the Maimed God's justice.","[{'effect_string': 'buff_upgrade,25,38'}]",373,3,57,Heavy Chainmail Shirt,1,3
"As fine a shirt as you could expect to find, from a common merchant.","[{'effect_string': 'buff_upgrade,87.5,38'}]",373,3,58,Fine Chainmail Shirt,2,3
Even dwarven folk can appreciate the need for Tyr's justice.,"[{'effect_string': 'buff_upgrade,150,38'}]",374,3,59,Dwarven Mithral Shirt,3,3
"Gifted to me by Lord Maldwyn, shortly before... I'd rather not talk about it.","[{'effect_string': 'buff_upgrade,275,38'}]",375,3,60,Finely Crafted Scalemail of Justice,4,3
Your run of the mill plate gauntlets.,"[{'effect_string': 'buff_upgrade,25,40'}]",379,3,61,Basic Gauntlets,1,4
"They won't budge in battle, and with a sturdy wrist will deflect all but the strongest attack.","[{'effect_string': 'buff_upgrade,87.5,40'}]",379,3,62,Sturdy Gauntlets,2,4
A finely crafted gauntlet worn by many Paladins throughout the land.,"[{'effect_string': 'buff_upgrade,150,40'}]",380,3,63,Paladin's Gauntlets,3,4
Pristine scalemail gauntlets that give my blows a little extra oomph.,"[{'effect_string': 'buff_upgrade,275,40'}]",381,3,64,Gauntlets of Sworn Vengeance,4,4
The symbol of Tyr strikes fear into evil-doers everywhere.,"[{'effect_string': 'buff_ultimate,25'}]",382,3,65,Simple Holy Symbol,1,5
This symbol has been meticulously cared for over the years. A great sign of respect.,"[{'effect_string': 'buff_ultimate,87.5'}]",382,3,66,Polished Holy Symbol,2,5
The Lord of Justice himself blessed this necklace.,"[{'effect_string': 'buff_ultimate,150'}]",383,3,67,Devoted Holy Symbol,3,5
I've devoted my life to justice for all in Tyr's name.,"[{'effect_string': 'buff_ultimate,275'}]",384,3,68,Extravagant Symbol of Tyr,4,5
"A trainee's sword, but in the right hands, it can still do damage.","[{'effect_string': 'reduce_ultimate_cooldown,3'}]",385,3,69,Dull Iron Greatsword,1,6
Crafted by the finest smithy in Daggerford.,"[{'effect_string': 'reduce_ultimate_cooldown,6'}]",385,3,70,Sharp Steel Greatsword,2,6
"This sword vanquishes all foes, whether or not they come from this plane.","[{'effect_string': 'reduce_ultimate_cooldown,12'}]",386,3,71,Strong Magical Greatsword,3,6
The Lord of Justice blessed this sword and my mission on his behalf.,"[{'effect_string': 'reduce_ultimate_cooldown,30'}]",387,3,72,Blessed Sword of Tyr,4,6
"Good enough for the common folk, but I'll soon be upgrading, I assure you.","[{'effect_string': 'hero_dps_multiplier_mult,50'}]",328,4,73,Common Rapier,1,1
"You can't be very effective with an unbalanced sword, you know!","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",328,4,74,Well Balanced Rapier,2,1
There's nothing quite so elegant or majestic as a finely crafted rapier.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",329,4,75,Majestic Rapier,3,1
"When you need to put on a show, a rapier will often do the trick.","[{'effect_string': 'hero_dps_multiplier_mult,350'}]",330,4,76,Swashbuckling Rapier of Last Resort,4,1
"It does the job, but not much more.","[{'effect_string': 'hero_dps_multiplier_mult,50'}]",322,4,77,Effective Eye Patch,1,2
Now that's a swashbuckling look!,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",322,4,78,Stylish Eye Patch,2,2
"I've got a few more tricks up my sleeve. Or over my eye, rather.","[{'effect_string': 'hero_dps_multiplier_mult,200'}]",323,4,79,Enhanced Eye Patch,3,2
You can't hide from my magical eye... patch.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",324,4,80,Knave's Eye Patch,4,2
It's not a real feather at all! Why would someone do this?,"[{'effect_string': 'buff_upgrade,25,52'}]",325,4,81,Faux Feathered Hat,1,3
"A decent enough feather, I suppose. In a pinch.","[{'effect_string': 'buff_upgrade,87.5,52'}]",325,4,82,Gull Feathered Hat,2,3
"It's a pleasure to wear, though not for my enemies.","[{'effect_string': 'buff_upgrade,150,52'}]",326,4,83,Velvet Feathered Hat,3,3
You don't want to mess with this feather.,"[{'effect_string': 'buff_upgrade,275,52'}]",327,4,84,Magical Diatryma Feathered Hat,4,3
A quick dip in an enchanted underdark pool aught to brighten this right up.,"[{'effect_string': 'buff_upgrade,25,55'}]",319,4,85,Faded Cloak,1,4
A useful distraction if you want your foes to see your cloak and not yourself.,"[{'effect_string': 'buff_upgrade,87.5,55'}]",319,4,86,Brightly Colored Cloak,2,4
"It has some use, but it could be so much more.","[{'effect_string': 'buff_upgrade,150,55'}]",320,4,87,Lesser Piwafwi Cloak,3,4
"With this cloak, I am all but invisible.","[{'effect_string': 'buff_upgrade,275,55'}]",321,4,88,Many-hued Piwafwi Cloak,4,4
"It once had magical powers, but now it's just an old piece of metal.","[{'effect_string': 'buff_ultimate,25'}]",331,4,89,Dented Iron Ring,1,5
Rub it three times and a genie pops out. Aha! Gotcha! So gullible.,"[{'effect_string': 'buff_ultimate,87.5'}]",331,4,90,Scuffed Steel Ring,2,5
"But what power, you ask? I'll never tell.","[{'effect_string': 'buff_ultimate,150'}]",332,4,91,Ring of Power,3,5
"If I know where my enemies will be, they're that much easier to hit.","[{'effect_string': 'buff_ultimate,275'}]",333,4,92,Ornate Ring of Foresight,4,5
"A simple accessory, but quite useful in the right situation.","[{'effect_string': 'reduce_ultimate_cooldown,8'}]",316,4,93,Simple Spurs,1,6
Remind me sometime to tell you the story of how I came into possession of these.,"[{'effect_string': 'reduce_ultimate_cooldown,15'}]",316,4,94,Dull Steel Spurs,2,6
"Dirty dwarven metal, sure, but you can't deny the craftsmanship.","[{'effect_string': 'reduce_ultimate_cooldown,30'}]",317,4,95,Shiny Mithral Spurs,3,6
A stylish addition to any outfit!,"[{'effect_string': 'reduce_ultimate_cooldown,75'}]",318,4,96,Masterful Golden Spurs,4,6
"It doesn't have to be fancy, but it will be messy.","[{'effect_string': 'global_dps_multiplier_mult,10'}]",271,5,97,Simple Crossbow Bolt,1,1
You don't want to be on the receiving end of this.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",271,5,98,Sharpened Crossbow Bolt,2,1
It nearly doesn't fit in my lute!,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",272,5,99,Broadhead Crossbow Bolt,3,1
"You really have to jam it in there, but it hurts when it comes out.","[{'effect_string': 'global_dps_multiplier_mult,230'}]",273,5,100,Expertly Fletched Crossbow Bolt,4,1
"It sounds terrible, so what'll you give me to stop playing?","[{'effect_string': 'global_dps_multiplier_mult,10'}]",277,5,101,Untuned Lute,1,2
"I've heard better, but it's a good focus for my songs and spells.","[{'effect_string': 'global_dps_multiplier_mult,65'}]",277,5,102,Partially Tuned Lute,2,2
Sturdy instruments are key to constant paydays.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",278,5,103,Whitewood Lute,3,2
"Hey, are you even listening to me? Argh! That's it...!","[{'effect_string': 'global_dps_multiplier_mult,230'}]",279,5,104,Ornate Lute of Ballads,4,2
"It's a little scratchy, but it keeps me warm.","[{'effect_string': 'buff_upgrade,25,71'}]",268,5,105,Rough Cloak,1,3
Your average bard's cloak. Good for blending into crowds... of bards.,"[{'effect_string': 'buff_upgrade,87.5,71'}]",268,5,106,Bard's Cloak,2,3
The only way this thing comes flying off in combat is if I'm feeling especially fabulous.,"[{'effect_string': 'buff_upgrade,150,71'}]",269,5,107,Triple-Clasped Cloak,3,3
"You wouldn't think a bright red cloak could be stealthy, but here we are.","[{'effect_string': 'buff_upgrade,275,71'}]",270,5,108,Stealthy Performer's Cloak,4,3
"Comfortable, but not much help in combat.","[{'effect_string': 'buff_upgrade,25,72'}]",265,5,109,Soft Leather Bracers,1,4
"You could deflect a dull sword with these, if you're quick enough, which I am.","[{'effect_string': 'buff_upgrade,87.5,72'}]",265,5,110,Stiff Hide Bracers,2,4
Some of the best wrist-based protection a girl can ask for.,"[{'effect_string': 'buff_upgrade,150,72'}]",266,5,111,Studded Leather Bracers,3,4
"I know what you're thinking: aren't all bracers fingerless? Yeah, well... Shut up.","[{'effect_string': 'buff_upgrade,275,72'}]",267,5,112,Fingerless Bracers of the Foul Mouth,4,4
"You can't see it, but this thing is barely holding together.","[{'effect_string': 'buff_upgrade,25,72'}]",262,5,113,Patched Bag,1,5
It's holding knick-knacks from dozens of passed out pirates. They won't miss 'em.,"[{'effect_string': 'buff_upgrade,87.5,72'}]",262,5,114,Sturdy Leather Bag,2,5
Touch the gem in the wrong way and boom! Hope you weren't too attached to that hand.,"[{'effect_string': 'buff_upgrade,150,72'}]",263,5,115,Magically Enhanced Satchel,3,5
"I've seen plenty of the world, but I'm more than happy to see more of it.","[{'effect_string': 'buff_upgrade,275,72'}]",264,5,116,Leather Satchel of the Wanderer,4,5
"It's a little irritating, but it's stylish.","[{'effect_string': 'reduce_ultimate_cooldown,5'}]",274,5,117,Dusty Eyepatch,1,6
A pleasure to wear - it's like a blanket for my eye!,"[{'effect_string': 'reduce_ultimate_cooldown,9'}]",274,5,118,Soft Cloth Eyepatch,2,6
A sturdy accessory that aids in my night time adventures.,"[{'effect_string': 'reduce_ultimate_cooldown,18'}]",275,5,119,Sturdy Leather Eyepatch,3,6
"Oh, you want to know what my magical eyepatch does? Get in line, sailor.","[{'effect_string': 'reduce_ultimate_cooldown,45'}]",276,5,120,Magical Eyepatch of the Bard,4,6
The tip isn't as fragile as it looks.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",238,6,121,Simple Jade Spear,1,1
Crafted by the finest Aarakocra smiths in Kir Sabal.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",238,6,122,Sharp Jade Spear,2,1
Imbued with magical power by the wizards of Kir Sabal.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",239,6,123,Magical Jade Spear,3,1
The finest spear I've seen in all my years protecting the skies of Chult.,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",240,6,124,Ornate Jade Spear of the Mind,4,1
This orb causes the air around you to shift and swirl.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",241,6,125,Orb of Breezes,1,2
This orb causes the air around you to gust and blow your robes.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",241,6,126,Orb of Gusts,2,2
"This orb causes a strong wind to swirl past you, making footing difficult.","[{'effect_string': 'hero_dps_multiplier_mult,200'}]",242,6,127,Orb of Squalls,3,2
"Without proper discipline, this orb could cause you to be swept off your feet.","[{'effect_string': 'hero_dps_multiplier_mult,350'}]",243,6,128,Hurricane Orb of Storms,4,2
This robe has clearly seen better days.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",235,6,129,Pilling Robe,1,3
"This robe fits perfectly, and flutters about pleasingly as you fly.","[{'effect_string': 'global_dps_multiplier_mult,65'}]",235,6,130,Long Robe,2,3
A golden robe with light colors and brilliant golden cloud motifs.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",236,6,131,Golden Robe,3,3
"This robe seems to have a mind of its own, swirling about you even when the wind is calm.","[{'effect_string': 'global_dps_multiplier_mult,230'}]",237,6,132,Swirling Robe of Gusting Wind,4,3
A simple pouch for storing spell components and trinkets.,"[{'effect_string': 'buff_upgrades,25,90,91,92,975,976,977', 'description': ""Increases the effect of Asharra's Bond abilities by $(amount)%.""}]",232,6,133,Simple Pouch,1,4
Twice the storage potential compared to single pouches!,"[{'effect_string': 'buff_upgrades,87.5,90,91,92,975,976,977', 'description': ""Increases the effect of Asharra's Bond abilities by $(amount)%.""}]",232,6,134,Dual Cloth Pouches,2,4
A well loved pouch that I'd guess belonged to a lesser Aarakocra priest or cleric.,"[{'effect_string': 'buff_upgrades,150,90,91,92,975,976,977', 'description': ""Increases the effect of Asharra's Bond abilities by $(amount)%.""}]",233,6,135,Hardened Leather Pouch,3,4
The components for nearly any spell you could imagine can be found in these pouches.,"[{'effect_string': 'buff_upgrades,275,90,91,92,975,976,977', 'description': ""Increases the effect of Asharra's Bond abilities by $(amount)%.""}]",234,6,136,Bottomless Pouch of Components,4,4
A common necklace worn by the Aarakocra residents of Kir Sabal.,"[{'effect_string': 'buff_ultimate,25'}]",229,6,137,Common Aarakocra Necklace,1,5
"This necklace has seen combat, but is still holding together well. It must be lucky!","[{'effect_string': 'buff_ultimate,87.5'}]",229,6,138,Scuffed Aarakocra Necklace,2,5
This fine necklace obviously belonged to a powerful Aarakocra at some point in the past.,"[{'effect_string': 'buff_ultimate,150'}]",230,6,139,Jeweled Aarakocra Necklace,3,5
The craftsmanship on this necklace puts all others to shame.,"[{'effect_string': 'buff_ultimate,275'}]",231,6,140,Masterfully Crafted Aarakocra Necklace,4,5
"A simple armlet, but good enough for the time being.","[{'effect_string': 'reduce_ultimate_cooldown,11'}]",226,6,141,Brass Armlet,1,6
A well loved armlet that its previous owner obviously adored.,"[{'effect_string': 'reduce_ultimate_cooldown,21'}]",226,6,142,Polished Armlet,2,6
A shiny armlet with what looks like a small citrine or amber set in it.,"[{'effect_string': 'reduce_ultimate_cooldown,42'}]",227,6,143,Jeweled Copper Armlet,3,6
A beautiful golden armlet set with a shining fire opal.,"[{'effect_string': 'reduce_ultimate_cooldown,105'}]",228,6,144,Magnificent Golden Armlet of Focus,4,6
Here's a tip for any adventurer: swords don't do so well against enemies made entirely of diamond.,"[{'effect_string': 'hero_dps_multiplier_mult,50'}]",367,7,145,Chipped Greatsword,1,1
Minsc has had this old blade nearly as long as he's been adventuring with Boo.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",367,7,146,Well Used Greatsword,2,1
Minsc just got this sharpened by a smithy in Baldur's Gate. Good fellow. Cheap.,"[{'effect_string': 'hero_dps_multiplier_mult,200'}]",368,7,147,Sharp Greatsword,3,1
"Evil, meet my sword! Sword, meet evil!","[{'effect_string': 'hero_dps_multiplier_mult,350'}]",369,7,148,Grand Greatsword of Furious Blows,4,1
"Less vest, more buttkicking!","[{'effect_string': 'hero_dps_multiplier_mult,50'}]",364,7,149,Basic Leather Vest,1,2
"Smooth like a miniature giant space hamster's bottom! Smells like one, too!","[{'effect_string': 'hero_dps_multiplier_mult,125'}]",364,7,150,Smooth Leather Vest,2,2
"It's got holes for Minsc's extremely large biceps, so Minsc is a fan!","[{'effect_string': 'hero_dps_multiplier_mult,200'}]",365,7,151,Reinforced Leather Vest,3,2
Boo! Are you comfortable up there?,"[{'effect_string': 'hero_dps_multiplier_mult,350'}]",366,7,152,Padded Leather Vest of Hamster Perches,4,2
"They may be cheap, but they do keep Minsc from lopping his own hands off.","[{'effect_string': 'global_dps_multiplier_mult,10'}]",358,7,153,Cheap Iron Bracers,1,3
"Hey, who are you calling dull?! Oh, the bracers. Yeah, they're pretty dull.","[{'effect_string': 'global_dps_multiplier_mult,65'}]",358,7,154,Dull Iron Bracers,2,3
This reminds Minsc of a time... never mind.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",359,7,155,Full Iron Bracers,3,3
Adventuring is quite exciting - at least until it's not. Then you need to be comfortable.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",360,7,156,Padded Iron Bracers of Comfort,4,3
It could use a little more color. Minsc knows a fellow in Waterdeep...,"[{'effect_string': 'buff_upgrades,25,108,109,110,111,112', 'description': ""Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.""}]",361,7,157,Faded Purple Cloak,1,4
A decent enough cloak. If you're into normal things like that.,"[{'effect_string': 'buff_upgrades,87.5,108,109,110,111,112', 'description': ""Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.""}]",361,7,158,Smooth Purple Cloak,2,4
"Oh! It's so soft! Don't even think about stealing it to nest in, Boo!","[{'effect_string': 'buff_upgrades,150,108,109,110,111,112', 'description': ""Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.""}]",362,7,159,Purple Velvet Cloak,3,4
"Minsc saves some king's daughter, and this is all he gets? Barely worth it!","[{'effect_string': 'buff_upgrades,275,108,109,110,111,112', 'description': ""Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.""}]",363,7,160,Silken Cloak of the Beloved Ranger,4,4
"Perhaps you will upgrade this belt the next time you are in town, yes?","[{'effect_string': 'buff_ultimate,25'}]",352,7,161,Fraying Belt,1,5
A good belt for long nights at the all-you-can-eat tavern!,"[{'effect_string': 'buff_ultimate,87.5'}]",352,7,162,Loose Belt,2,5
"It's important to keep your pants up, lest boo bite you in hard to reach places.","[{'effect_string': 'buff_ultimate,150'}]",353,7,163,Tight Leather Belt,3,5
"Go for the belt, Boo! Go for the belt!","[{'effect_string': 'buff_ultimate,275'}]",354,7,164,Comfortable Belt of Destruction,4,5
You don't need fancy boots to kick some bad guy butt!,"[{'effect_string': 'reduce_ultimate_cooldown,5'}]",355,7,165,Simple Ranger Boots,1,6
They've got good traction if we ever head up north to Icewind Dale.,"[{'effect_string': 'reduce_ultimate_cooldown,9'}]",355,7,166,Smooth Studded Boots,2,6
"Solid buttkicking soles! Good find, Boo!","[{'effect_string': 'reduce_ultimate_cooldown,18'}]",356,7,167,Solid Plate Boots,3,6
Some of these enemies need a swift kick in the morals!,"[{'effect_string': 'reduce_ultimate_cooldown,45'}]",357,7,168,Buttkicking Boots of Wrath,4,6
"I prefer to stick to my magic, but in a pinch, I can use this.","[{'effect_string': 'hero_dps_multiplier_mult,50'}]",310,8,169,Dull Iron Dagger,1,1
I borrowed this from a cutpurse in Baldur's Gate who thought he could steal from me.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",310,8,170,Cutpurse's Dagger,2,1
"I don't like to resort to violence, but if I have to, this'll do.","[{'effect_string': 'hero_dps_multiplier_mult,200'}]",311,8,171,Sharp Steel Dagger,3,1
"In a pinch, I can channel my spells through the ruby on this dagger.","[{'effect_string': 'hero_dps_multiplier_mult,350'}]",312,8,172,Ruby Focused Dagger of Danger,4,1
"Some trinket? It doesn't interest me, but it has some power within.","[{'effect_string': 'hero_dps_multiplier_mult,50'}]",298,8,173,Pilfered Memento,1,2
This belonged to an acolyte of the Cult of the Dragon.,"[{'effect_string': 'hero_dps_multiplier_mult,125'}]",298,8,174,Follower's Necklace,2,2
"Someone of great power wore this necklace. But they're gone, and I'm still here.","[{'effect_string': 'hero_dps_multiplier_mult,200'}]",299,8,175,Master's Necklace,3,2
"My twin brother's necklace. It's a long story, and I'd rather not get into it.","[{'effect_string': 'hero_dps_multiplier_mult,350'}]",300,8,176,Dragon Cult Leader's Necklace,4,2
Very similar to the first focus given to me by my teacher.,"[{'effect_string': 'global_dps_multiplier_mult,10'}]",301,8,177,Basic Orb,1,3
Getting your focus to hover in your hand is the first task assigned to novice sorcerers.,"[{'effect_string': 'global_dps_multiplier_mult,65'}]",301,8,178,Hovering Orb,2,3
Channeling the Weave into your focus allows you to charge your spells.,"[{'effect_string': 'global_dps_multiplier_mult,120'}]",302,8,179,Charged Orb,3,3
This magical artifact has been passed down through generations of elves.,"[{'effect_string': 'global_dps_multiplier_mult,230'}]",303,8,180,Magical Orb of Elvenkind,4,3
More of a style piece than actually functional.,"[{'effect_string': 'buff_upgrade,25,125'}]",304,8,181,Loose Belt,1,4
A simple enough belt. The sheath has a few holes in it.,"[{'effect_string': 'buff_upgrade,87.5,125'}]",304,8,182,Simple Leather Belt,2,4
A fine gift from a young human who once fancied me.,"[{'effect_string': 'buff_upgrade,150,125'}]",305,8,183,Fine Belt and Sheath,3,4
I'm always up for an adventure! The more dangerous the better!,"[{'effect_string': 'buff_upgrade,275,125'}]",306,8,184,Golden Wayfarer's Belt of Adventure,4,4
A simple sorcerer's cape with more than a few holes.,"[{'effect_string': 'buff_upgrade,25,128'}]",307,8,185,Ratty Cape,1,5
Someone has recently cleaned the cape. It wasn't me!,"[{'effect_string': 'buff_upgrade,87.5,128'}]",307,8,186,Smooth Cape,2,5
I look like quite the mature and knowledgeable elf wearing this. Little do they know.,"[{'effect_string': 'buff_upgrade,150,128'}]",308,8,187,High Collared Cape,3,5
"It may look flimsy, but I can shrug off most attacks wearing this.","[{'effect_string': 'buff_upgrade,275,128'}]",309,8,188,Empowered Cape of Protection,4,5
"I can't believe anyone would wear these! Better than nothing, I guess.","[{'effect_string': 'reduce_ultimate_cooldown,6'}]",313,8,189,Scratchy Robes,1,6
