Hero,Name,Effect,Effect Value (%),Effect Description,Slot,Rarity,Item Description,Graphic ID
7,Full Iron Bracers,All Champion Damage Boost,120,,3,3,This reminds Minsc of a time... never mind.,359
7,Padded Iron Bracers of Comfort,All Champion Damage Boost,230,,3,4,Adventuring is quite exciting - at least until it's not. Then you need to be comfortable.,360
7,Faded Purple Cloak,Ability Upgrade,25,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,1,It could use a little more color. Minsc knows a fellow in Waterdeep...,361
7,Smooth Purple Cloak,Ability Upgrade,87.5,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,2,A decent enough cloak. If you're into normal things like that.,361
7,Purple Velvet Cloak,Ability Upgrade,150,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,3,"Oh! It's so soft! Don't even think about stealing it to nest in, Boo!",362
7,Silken Cloak of the Beloved Ranger,Ability Upgrade,275,Increases the effect of Minsc's Favored Enemy abilities by $(amount)%.,4,4,"Minsc saves some king's daughter, and this is all he gets? Barely worth it!",363
7,Fraying Belt,Ultimate Boost,25,,5,1,"Perhaps you will upgrade this belt the next time you are in town, yes?",352
7,Loose Belt,Ultimate Boost,87.5,,5,2,A good belt for long nights at the all-you-can-eat tavern!,352
7,Tight Leather Belt,Ultimate Boost,150,,5,3,"It's important to keep your pants up, lest boo bite you in hard to reach places.",353
7,Comfortable Belt of Destruction,Ultimate Boost,275,,5,4,"Go for the belt, Boo! Go for the belt!",354
7,Simple Ranger Boots,Reduces Ultimate Cooldown,5,,6,1,You don't need fancy boots to kick some bad guy butt!,355
7,Smooth Studded Boots,Reduces Ultimate Cooldown,9,,6,2,They've got good traction if we ever head up north to Icewind Dale.,355
7,Solid Plate Boots,Reduces Ultimate Cooldown,18,,6,3,"Solid buttkicking soles! Good find, Boo!",356
7,Buttkicking Boots of Wrath,Reduces Ultimate Cooldown,45,,6,4,Some of these enemies need a swift kick in the morals!,357
8,Dull Iron Dagger,Self Damage Boost,50,,1,1,"I prefer to stick to my magic, but in a pinch, I can use this.",310
8,Cutpurse's Dagger,Self Damage Boost,125,,1,2,I borrowed this from a cutpurse in Baldur's Gate who thought he could steal from me.,310
8,Sharp Steel Dagger,Self Damage Boost,200,,1,3,"I don't like to resort to violence, but if I have to, this'll do.",311
8,Ruby Focused Dagger of Danger,Self Damage Boost,350,,1,4,"In a pinch, I can channel my spells through the ruby on this dagger.",312
8,Pilfered Memento,Self Damage Boost,50,,2,1,"Some trinket? It doesn't interest me, but it has some power within.",298
8,Follower's Necklace,Self Damage Boost,125,,2,2,This belonged to an acolyte of the Cult of the Dragon.,298
8,Master's Necklace,Self Damage Boost,200,,2,3,"Someone of great power wore this necklace. But they're gone, and I'm still here.",299
8,Dragon Cult Leader's Necklace,Self Damage Boost,350,,2,4,"My twin brother's necklace. It's a long story, and I'd rather not get into it.",300
8,Basic Orb,All Champion Damage Boost,10,,3,1,Very similar to the first focus given to me by my teacher.,301
8,Hovering Orb,All Champion Damage Boost,65,,3,2,Getting your focus to hover in your hand is the first task assigned to novice sorcerers.,301
8,Charged Orb,All Champion Damage Boost,120,,3,3,Channeling the Weave into your focus allows you to charge your spells.,302
8,Magical Orb of Elvenkind,All Champion Damage Boost,230,,3,4,This magical artifact has been passed down through generations of elves.,303
8,Loose Belt,Ability Upgrade,25,,4,1,More of a style piece than actually functional.,304
8,Simple Leather Belt,Ability Upgrade,87.5,,4,2,A simple enough belt. The sheath has a few holes in it.,304
8,Fine Belt and Sheath,Ability Upgrade,150,,4,3,A fine gift from a young human who once fancied me.,305
8,Golden Wayfarer's Belt of Adventure,Ability Upgrade,275,,4,4,I'm always up for an adventure! The more dangerous the better!,306
8,Ratty Cape,Ability Upgrade,25,,5,1,A simple sorcerer's cape with more than a few holes.,307
8,Smooth Cape,Ability Upgrade,87.5,,5,2,Someone has recently cleaned the cape. It wasn't me!,307
8,High Collared Cape,Ability Upgrade,150,,5,3,I look like quite the mature and knowledgeable elf wearing this. Little do they know.,308
8,Empowered Cape of Protection,Ability Upgrade,275,,5,4,"It may look flimsy, but I can shrug off most attacks wearing this.",309
8,Scratchy Robes,Reduces Ultimate Cooldown,6,,6,1,"I can't believe anyone would wear these! Better than nothing, I guess.",313
8,Comfortable Robes,Reduces Ultimate Cooldown,12,,6,2,"Hey, these are actually pretty comfy! Good find!",313
8,Masterful Silken Robe,Reduces Ultimate Cooldown,24,,6,3,I've been searching for the master who crafted this for years. It's wondrous!,314
8,Swirling Patterned Robe of Sorcery,Reduces Ultimate Cooldown,60,,6,4,My spells are empowered when I wear this cape. Not that they need to be.,315
9,Necklace of Sparks,Self Damage Boost,50,,1,1,"A few sparks are a beginning, but they're certainly not an end.",346
9,Necklace of Flickers,Self Damage Boost,125,,1,2,We're going to need to do better than this.,346
9,Necklace of Flame,Self Damage Boost,200,,1,3,Where there's smoke...,347
9,Golden Necklace of Fireballs,Self Damage Boost,350,,1,4,This ought to draw their attention.,348
9,Suspicious Dagger,Self Damage Boost,50,,2,1,There's something a little off about this dagger.,343
9,Evil Dagger,Self Damage Boost,125,,2,2,"Yeah, this dagger is clearly evil. But it does my bidding, so it's not all bad.",343
9,Twisted Dagger Focus,Self Damage Boost,200,,2,3,Allows me to focus my fiendish magic.,344
9,Demonic Focus of Infernal Power,Self Damage Boost,350,,2,4,I'll do whatever it takes to achieve my goals.,345
9,Small Cloth Pouch,All Champion Damage Boost,10,,3,1,Holds enough components for a few hours of intense spellcasting.,340
9,Stitched Leather Pouch,All Champion Damage Boost,65,,3,2,There's a hidden compartment in the back for even more components.,340
9,Dyed Leather Pouch,All Champion Damage Boost,120,,3,3,"Finding black leather dye is extremely difficult. Luckily, I know a Fiend or two.",341
9,Gilded Demon Hide Pouch,All Champion Damage Boost,230,,3,4,Demon hide is especially rare. They generally don't like to give it up.,342
9,Torn Cape,Ability Upgrade,25,,4,1,They... they tore my cape! The nerve!,337
9,Dark Cape,Ability Upgrade,87.5,,4,2,"I'm really still quite evil, once you get to know me.",337
9,Magnificent Cape,Ability Upgrade,150,,4,3,"Magnificent, much like myself!",338
9,Exquisite Cape of Souls,Ability Upgrade,275,,4,4,"Don't worry, they weren't very nice souls to begin with.",339
9,Basic Warlock's Robe,Ultimate Boost,25,,5,1,This has no real value to me. I've grown so far beyond its meager power.,349
9,Apprentice's Robe,Ultimate Boost,87.5,,5,2,A simple robe for a simple warlock. I've already outgrown it.,349
9,Gold Stitched Robe,Ultimate Boost,150,,5,3,"Finally, a robe worthy of my great power.",350
9,Tasselled Robes of Justification,Ultimate Boost,275,,5,4,The ends justify the means. I'll do whatever it takes.,351
9,Charred Belt,Reduces Ultimate Cooldown,8,,6,1,You can't make an omelette without burning a few belts.,334
9,Blackened Belt,Reduces Ultimate Cooldown,15,,6,2,"For some reason, my patron seems to like it when I wear black.",334
9,Fine Acolyte's Belt,Reduces Ultimate Cooldown,30,,6,3,"A rare gift from my patron, Arikas. It serves me well.",335
9,Skirted Belt of Demons,Reduces Ultimate Cooldown,75,,6,4,An exquisite belt for those of us with fiendish tastes.,336
10,Splintered Branch,Self Damage Boost,50,,1,1,Even a splintered branch can do damage in the right hands.,403
10,Patched Tree Branch,Self Damage Boost,125,,1,2,"It's a splinted splintered branch. Get it? Aww, you're no fun.",403
10,Twisted Wooden Staff,Self Damage Boost,200,,1,3,The twisting only serves to make it stronger.,404
10,Gnarled Staff of the Warden,Self Damage Boost,350,,1,4,The tree this staff came from is older than time itself.,405
10,Dull Jade Necklace,Self Damage Boost,50,,2,1,A simple necklace for simple adventurers.,391
10,Shiny Jade Necklace,Self Damage Boost,125,,2,2,There's something about jade that always tickles my fancy.,391
10,Fine Jade Necklace,Self Damage Boost,200,,2,3,A fine necklace purchased from a merchant in Triboar.,392
10,Woven Jade Necklace of the Forest,Self Damage Boost,350,,2,4,An ancient necklace found deep in the Neverwinter wood.,393
10,Plain Rope,All Champion Damage Boost,10,,3,1,Fifty feet of strong hempen rope. Durable and versatile.,397
10,Twitching Rope,All Champion Damage Boost,65,,3,2,"It seems to want something... What do you want, little rope?",397
10,Magical Rope,All Champion Damage Boost,120,,3,3,Good for getting to high places when there's nothing to tie rope to.,398
10,Empowered Rope of Entanglement,All Champion Damage Boost,230,,3,4,It's easier for you if you don't fight it. It feeds on your struggles.,399
10,Ripped Cloth Vest,Ability Upgrade,25,,4,1,"It's taken a few too many trips through the brambles, if you know what I mean.",400
10,Plain Cloth Vest,Ability Upgrade,87.5,,4,2,A workable vest. Relatively new and uninitiated to nature.,400
10,Fine Cloth Shirt,Ability Upgrade,150,,4,3,A fine shirt. I almost feel bad taking it out into the wild. Almost.,401
10,Earthwarden's Shirt of Nature,Ability Upgrade,275,,4,4,One of the few items I kept from my home village after... Nevermind.,402
10,Empty Bag of Tricks,Ultimate Boost,25,,5,1,"It's may be out of tricks, but I've still got some up my sleeve.",388
10,Basic Bag of Tricks,Ultimate Boost,87.5,,5,2,"Filled with powders to distract, to itch, to blind.",388
10,Hefty Bag of Tricks,Ultimate Boost,150,,5,3,It's almost too heavy to carry. Perhaps that's a trick for its owner.,389
10,Mystical Tan Bag of Tricks,Ultimate Boost,275,,5,4,There's a hint of magic in all of these tricks.,390
10,Wooden Ring,Reduces Ultimate Cooldown,6,,6,1,Crafted from a fallen branch donated by a very old and wise tree.,394
10,Basic Ring of the Mole,Reduces Ultimate Cooldown,12,,6,2,"Moles have one of the keenest noses in the world, you know.",394
10,Fine Ring of the Frog,Reduces Ultimate Cooldown,24,,6,3,Frogs have many fine attributes that are quite useful when adventuring.,395
10,Exquisite Ring of the Porcupine,Reduces Ultimate Cooldown,60,,6,4,"Much like the Porcupine, if you poke me, you'll regret it.",396
11,Primitive Bangles,Self Damage Boost,50,,1,1,A bangle or two from my days as a youth.,627
11,Wooden Bangles,Self Damage Boost,125,,1,2,Carved from the most wondrous trees that grow only in Chult.,627
11,Metal Bangles,Self Damage Boost,200,,1,3,More elegant arm wear for a more successful adventurer.,628
11,Precious Inscribed Bangles of Chult,Self Damage Boost,350,,1,4,Beautiful bangles bought from an adventurous merchant.,629
11,Scuffed Boots,Self Damage Boost,50,,2,1,Someone hasn't been taking good care of their boots.,630
11,Soft Boots,Self Damage Boost,125,,2,2,"Uncommonly soft and comfortable, they allow me to be light on my feet.",630
11,Stealthy Boots,Self Damage Boost,200,,2,3,A fine pair of boots with a padded sole.,631
